ID,Landuse2009,D_station,D_Road,D_River,D_Open,Pop_density,DEM,Slope,Entropy,Landvalue,Area,Zone,Results,Landuse2014
13939,2,1230.58,39.8955,188.366,152.408,7194.4,2.65149,0.979245,0.808485,9396813.547,2911.601881,3,1,2
13940,3,782.007,37.6988,104.448,46.2171,8343.24,11.0161,5.68417,0.694506,16109445.45,1183.77756,3,1,3
13941,3,871.025,167.678,39.7178,82.8354,19858.6,4.69162,4.94595,0.694665,13681317.38,7667.679901,3,1,3
13942,3,892.796,45.0057,33.5741,202.136,5729.83,6.05248,10.2883,0.662191,9364091.931,4958.671667,3,1,3
13943,3,958.99,24.5742,183.28,119.368,7660.35,20.1706,7.92248,0.738837,10143288.55,2180.304835,3,1,3
13944,2,1036.06,49.0368,168.609,161.873,12834.6,12.9677,1.79841,0.703362,8917300.44,1412.051286,3,1,2
13945,3,1040.81,56.3203,141.103,136.587,12834.6,13.8715,2.47762,0.726333,8957902.322,2837.515105,3,1,3
13946,2,805.971,225.714,160.886,155.335,7980.7,14.7119,3.44389,0.63626,9648892.233,1071.148186,2,1,2
13947,3,801.764,244.838,69.2052,65.4357,8951.89,14.3929,4.87617,0.69822,20547698.26,4576.436146,3,1,3
13948,3,873.05,186.432,100.571,101.585,8951.89,16.4095,5.17326,0.682481,20399863.49,2106.260218,3,1,3
13949,3,1133.49,35.6025,603.907,101.741,7163.5,2.45014,1.22756,0.63232,10850568.93,1049.231159,2,1,3
13950,3,1625.06,302.046,66.4504,25.1455,7058.31,4.02228,2.13126,0.663865,15763072.41,2885.295618,3,1,3
13951,2,1509.43,150.109,166.094,126.94,7058.31,8.61243,6.97611,0.60749,9804719.739,914.611648,2,1,2
13952,2,1356.1,91.263,376.507,103.764,5036.52,4.06121,4.74513,0.701701,10829741.89,1108.073011,2,1,2
13953,2,736.728,158.463,340.527,119.743,3898.67,9.57047,0.800755,0.775244,8271302.785,800.009364,1,1,2
13954,1,400.692,153.413,523.899,293.647,4883.75,10.1339,5.44441,0.636061,8453204.338,906.5376241,2,1,1
13955,2,833.815,74.7684,550.871,30.4338,4840.01,14.5978,5.96218,0.772893,9008550.647,598.5743164,2,1,2
13956,3,292.873,92.1968,337.891,127.842,6470.84,12.0122,5.26533,0.680912,10395765.76,1365.364627,2,1,3
13957,2,584.857,37.3284,525.942,152.625,5616.55,3.3533,1.11215,0.572263,8279378.901,696.0974889,2,1,2
13958,2,570.063,12.1838,517.659,177.621,5616.55,4.00778,2.50569,0.619558,9073429.038,315.343557,2,1,2
13959,2,383.508,31.5432,563.587,369.096,6478.64,18.4635,2.36106,0.623256,9694016.411,1052.234471,2,1,2
13960,3,332.444,149.394,116.736,75.3581,7561.83,25.9576,4.91357,0.68869,18635855.84,569.1139227,3,1,3
13961,3,130.824,75.6728,183.322,174.207,5126.11,3.49675,1.0971,0.522782,11123471.45,1725.803999,3,1,3
13962,3,110.905,32.8985,255.524,153.072,5126.11,3.66604,1.24844,0.603706,10709760.3,1294.331105,3,1,3
13963,2,659.267,27.4915,378.726,115.602,9570.62,24.8637,5.08804,0.627517,11729737.1,1894.476289,2,1,2
13964,1,1332.43,18.8444,123.39,115.705,8484.38,3.79613,1.76012,0.93135,12179845.42,377.3558469,3,1,1
13965,1,1376.03,51.3299,97.9365,88.8541,8484.38,4.71419,0.627914,0.876379,11881327.13,370.3740419,3,1,1
13966,1,1408.3,70.5127,87.4402,81.9072,8484.38,4.75097,0.791505,0.93135,12494321.24,308.2747858,3,1,1
13967,1,1387.97,25.2878,134.65,128.828,8484.38,4.19383,1.87002,0.93135,11988234.12,429.3647854,3,1,1
13968,1,1363.37,22.0116,131.501,123.092,8484.38,4.51831,2.1679,0.93135,12014246.14,389.0846918,3,1,1
13969,1,1345.08,24.7232,122.597,112.89,8484.38,4.2632,3.06457,0.93135,12084107.52,442.5001729,3,1,1
13970,1,1362.11,40.7294,106.661,96.963,8484.38,4.68091,1.07334,0.93135,12092031.57,441.7973999,3,1,1
13971,1,1438.27,80.2643,74.6148,70.2873,8484.38,5.10288,1.48975,0.93135,12268508.73,313.7645325,3,1,1
13972,1,1464.68,80.3973,70.2326,65.4202,8484.38,5.07939,1.0207,0.93135,10290548.75,313.7413099,3,1,1
13973,1,1460.44,68.3413,82.2609,77.4457,8484.38,4.80036,1.65388,0.93135,11973111.76,341.7108899,3,1,1
13974,1,1452.25,43.0294,107.279,102.55,8484.38,4.41775,1.25332,0.93135,11977657.9,341.7239634,3,1,1
13975,1,1456.05,24.3708,124.833,120.502,8484.38,4.03533,2.14239,0.93135,11967123.46,355.5698324,3,1,1
13976,1,1431.89,24.3876,128.717,124.599,8484.38,4.22195,1.87919,0.93135,11983788.22,319.7759988,3,1,1
13977,1,1425.69,42.9025,111.385,107.533,8484.38,4.5774,1.48575,0.93135,11985745.33,341.7348909,3,1,1
13978,1,1429.78,55.559,98.8765,94.8919,8484.38,4.84913,1.31252,0.93135,11988374.6,341.7248663,3,1,1
13979,1,1433.98,68.2151,86.3685,82.2558,8484.38,4.95534,1.27555,0.93135,11973111.76,341.7224799,3,1,1
13980,1,1492.55,54.9908,88.9355,91.4001,8484.38,4.40281,0.933937,0.93135,12007658.79,320.8966112,3,1,1
13981,1,1501.65,54.4141,87.6998,91.125,8484.38,4.41137,0.698808,0.93135,12012111.1,357.4696677,3,1,1
13982,1,1513.7,54.5116,86.9264,88.8939,8484.38,4.49457,1.1697,0.93135,12006720.77,357.7853381,3,1,1
13983,1,1525.76,54.6088,86.2073,80.2012,8484.38,4.57258,1.47798,0.93135,11996629.31,358.1402351,3,1,1
13984,1,1543.71,59.6062,80.3387,62.5069,8484.38,4.60756,1.27178,0.93135,11996067.07,363.4601477,3,1,1
13985,1,1539.05,27.2806,112.003,73.2371,8484.38,4.3831,0.879408,0.93135,12001866.35,299.17314,3,1,1
13986,1,1520.39,26.2252,114.407,90.4537,8484.38,4.23721,1.25097,0.93135,12007420.9,510.0668719,3,1,1
13987,1,1508.26,26.2643,115.13,95.9031,8484.38,4.14833,0.950429,0.93135,12006720.77,357.0579646,3,1,1
13988,1,1496.14,26.1797,115.846,100.099,8484.38,4.14098,0.899078,0.93135,12012111.1,357.0799627,3,1,1
13989,1,1484.97,25.4312,117.932,104.718,8484.38,4.03537,2.257,0.93135,12007658.79,320.8302304,3,1,1
13990,1,1290.47,53.3325,95.9507,83.6228,8484.38,4.33801,1.48433,0.93135,4078149.188,401.7903311,3,1,1
13991,1,1304.67,31.7476,103.804,95.5524,8484.38,4.3168,1.55786,0.93135,7734038.707,318.7830791,3,1,1
13992,1,1311.08,20.9927,108.725,101.584,8484.38,4.45266,1.43505,0.93135,7004181.611,477.9073048,3,1,1
13993,1,1345.69,50.9511,79.2607,73.0766,8484.38,4.92139,0.709525,0.93135,8185969.681,369.9725491,3,1,1
13994,2,1212.16,24.2566,147.946,136.114,8484.38,3.23639,3.81688,0.852903,11913557.42,2885.478197,3,1,2
13995,3,1146.06,155.991,39.6548,42.4219,12834.6,8.99299,8.61552,0.736386,17472373.92,3739.250387,3,1,3
13996,1,98.8075,75.419,286.147,177.682,5126.11,3.86535,1.61834,0.574427,7561905.862,862.8948572,3,1,1
13997,3,924.79,78.1754,143.653,146.613,5729.83,5.43265,4.90012,0.667043,12078819.69,2880.128472,3,1,3
13998,3,1607.51,256.24,118.6,112.876,4135.51,9.17077,8.50312,0.739555,8987086.262,2530.836448,2,1,3
13999,2,778.857,17.7438,477.605,51.8903,3888.73,17.8271,7.18789,0.713389,7954901.042,524.60486,2,1,2
14000,1,1000.97,32.2376,101.396,87.3899,3590.76,3.63472,1.22725,0.753586,9182721.773,403.4138869,1,1,1
14001,3,369.821,242.289,30.5735,44.0419,7561.83,21.6888,21.4793,0.887495,19129868.32,1047.058836,3,1,3
14002,2,957.938,31.6154,470.759,117.748,4840.01,5.45913,5.01242,0.423036,8900122.811,535.0395785,2,1,2
14003,1,1002.33,152.732,20.1848,16.4995,8951.89,5.44547,10.4791,0.685319,21981081.26,701.6072972,2,1,1
14004,3,173.233,31.3513,287.908,205.175,6181.86,18.4113,4.5831,0.70944,10904897.37,1052.203961,2,1,3
14005,3,677.673,375.025,39.7909,37.4537,10883.7,12.9783,9.60795,0.684637,21409028.12,1033.786551,3,1,3
14006,3,721.176,41.972,121.489,64.7463,8343.24,6.08768,1.75378,0.733112,16272210.76,4018.452621,3,1,3
14007,2,952.378,42.8304,272.716,194.313,3469.06,10.5677,1.41241,0.755824,7793794.266,1013.005591,3,1,2
14008,2,1264.03,147.745,307.809,10.0596,1485.7,2.67135,1.47464,0.717097,8014374.591,1007.618787,3,1,2
14009,3,1019.55,114.091,27.7378,18.9877,8951.89,3.99643,3.59959,0.686705,16689472.82,2405.902268,2,1,3
14010,2,509.465,57.346,643.799,218.853,4883.75,13.9466,5.51908,0.711434,8966898.255,723.6500943,2,1,2
14011,2,654.39,32.6027,691.528,180.586,3688.5,6.4072,0.629799,0.701351,7246740.135,792.1698601,3,1,2
14012,2,284.819,36.9151,476.516,366.121,8362.78,20.0054,0.696895,0.719554,10332884.64,1028.226187,2,1,2
